
Pinging 192.168.1.200 with 32 bytes of data from [192.168.1.130]:

Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.02 ms
Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.02 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.02 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.02 ms
Reply from 192.168.1.200: bytes=32 time 0.83 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.49 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.49 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.47 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.41 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.03 ms
Reply from 192.168.1.200: bytes=32 time 1.17 ms, TTL=255, Hop=0, Jitter=0.08 ms
Reply from 192.168.1.200: bytes=32 time 0.48 ms, TTL=255, Hop=0, Jitter=0.12 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.11 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.10 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.10 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.09 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.09 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.08 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.08 ms
Reply from 192.168.1.200: bytes=32 time 0.41 ms, TTL=255, Hop=0, Jitter=0.07 ms
Reply from 192.168.1.200: bytes=32 time 0.41 ms, TTL=255, Hop=0, Jitter=0.07 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.07 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 15.70 ms, TTL=255, Hop=0, Jitter=1.00 ms

Ping statistics for 192.168.1.200
  Packets: Sent = 100, Received = 100, Lost = 0 (0% loss),
Approximate round trip times in milli-seconds:
  Minimum = 0.40ms, Maximum =  15.70ms, Average =  0.61ms, Jitter Statistical = 1.53ms 

