bytes;min;avg;max;mdev;
20;0.536;0.570;0.600;0.031;
30;0.541;0.571;0.598;0.022;
40;0.562;0.593;0.617;0.030;
50;0.564;0.591;0.617;0.022;
60;0.580;0.614;0.638;0.036;
70;0.587;0.617;0.650;0.026;
80;0.603;0.639;0.668;0.034;
90;0.615;0.638;0.669;0.028;
100;0.644;0.667;0.695;0.025;
110;0.638;0.670;0.691;0.032;
120;0.646;0.688;0.713;0.017;
130;0.673;0.699;0.722;0.034;
140;0.693;0.715;0.729;0.017;
150;0.696;0.717;0.740;0.021;
160;0.712;0.730;0.761;0.039;
170;0.717;0.736;0.763;0.034;
180;0.731;0.759;0.793;0.032;
190;0.733;0.760;0.847;0.017;
200;0.754;0.785;0.809;0.040;
210;0.769;0.789;0.809;0.016;
220;0.781;0.810;0.838;0.033;
230;0.790;0.815;0.840;0.025;
240;0.803;0.821;0.849;0.030;
250;0.804;0.838;0.864;0.021;
260;0.832;0.855;0.875;0.029;
270;0.825;0.864;0.897;0.034;
280;0.846;0.873;0.900;0.042;
290;0.857;0.881;0.913;0.022;
300;0.868;0.903;0.930;0.031;
310;0.870;0.909;0.946;0.044;
320;0.888;0.930;0.954;0.042;
330;0.903;0.932;0.961;0.016;
340;0.918;0.949;0.980;0.033;
350;0.930;0.956;0.979;0.030;
360;0.951;0.974;0.993;0.032;
370;0.960;0.967;0.984;0.003;
380;0.968;0.986;1.007;0.033;
390;0.955;0.989;1.008;0.023;
400;0.984;1.007;1.044;0.027;
410;0.987;1.014;1.046;0.029;
420;1.015;1.036;1.061;0.042;
430;0.989;1.039;1.070;0.025;
440;1.026;1.054;1.086;0.021;
450;1.041;1.066;1.094;0.044;
460;1.059;1.082;1.107;0.043;
470;1.060;1.087;1.120;0.040;
480;1.084;1.110;1.144;0.020;
490;1.087;1.114;1.142;0.042;
500;1.115;1.136;1.164;0.033;
510;1.126;1.143;1.171;0.041;
520;1.120;1.158;1.191;0.041;
530;1.146;1.167;1.200;0.016;
540;1.159;1.184;1.216;0.042;
550;1.156;1.188;1.209;0.043;
560;1.187;1.207;1.233;0.030;
570;1.195;1.217;1.243;0.038;
580;1.085;1.233;1.277;0.019;
590;1.216;1.242;1.268;0.021;
600;1.237;1.264;1.284;0.012;
610;1.243;1.268;1.302;0.040;
620;1.260;1.296;2.360;0.108;
630;1.269;1.295;1.327;0.051;
640;1.288;1.315;1.339;0.033;
650;1.281;1.316;1.346;0.049;
660;1.318;1.336;1.362;0.020;
670;1.322;1.344;1.367;0.039;
680;1.342;1.363;1.393;0.044;
690;1.358;1.380;1.405;0.044;
700;1.368;1.400;1.423;0.044;
710;1.230;1.394;1.416;0.052;
720;1.393;1.413;1.443;0.043;
730;1.396;1.424;1.455;0.034;
740;1.413;1.441;1.473;0.039;
750;1.420;1.443;1.465;0.053;
760;1.380;1.465;1.494;0.023;
770;1.453;1.472;1.493;0.017;
780;1.471;1.493;1.515;0.053;
790;1.477;1.504;1.532;0.019;
800;1.492;1.520;1.544;0.034;
810;1.522;1.539;1.557;0.054;
820;1.519;1.543;1.612;0.030;
830;1.523;1.549;1.632;0.037;
840;1.545;1.570;1.595;0.030;
850;1.540;1.576;1.606;0.037;
860;1.575;1.593;1.636;0.053;
870;1.577;1.604;1.630;0.023;
880;1.595;1.628;1.652;0.053;
890;1.597;1.631;1.665;0.031;
900;1.622;1.647;1.683;0.015;
910;1.634;1.650;1.680;0.050;
920;1.653;1.676;1.725;0.055;
930;1.656;1.679;1.705;0.028;
940;1.667;1.696;1.723;0.039;
950;1.680;1.709;1.739;0.051;
960;1.699;1.724;1.749;0.051;
970;1.712;1.734;1.754;0.034;
980;1.731;1.751;1.779;0.056;
990;1.735;1.758;1.776;0.058;
1000;1.756;1.780;1.847;0.045;
