bytes;min;avg;max;mdev;
20;0.542;0.568;0.592;0.028;
30;0.538;0.570;0.601;0.035;
40;0.562;0.588;0.610;0.033;
50;0.565;0.595;0.621;0.016;
60;0.576;0.613;0.645;0.033;
70;0.582;0.611;0.637;0.031;
80;0.606;0.641;0.665;0.016;
90;0.620;0.646;0.670;0.027;
100;0.632;0.664;0.689;0.019;
110;0.638;0.672;0.694;0.033;
120;0.660;0.686;0.710;0.028;
130;0.653;0.688;0.722;0.031;
140;0.686;0.712;0.738;0.027;
150;0.688;0.709;0.737;0.025;
160;0.696;0.727;0.755;0.023;
170;0.712;0.737;0.771;0.033;
180;0.733;0.750;0.782;0.018;
190;0.746;0.759;0.783;0.009;
200;0.754;0.778;0.800;0.030;
210;0.766;0.783;0.816;0.040;
220;0.779;0.799;0.836;0.024;
230;0.789;0.808;0.833;0.030;
240;0.802;0.829;0.860;0.014;
250;0.805;0.837;0.866;0.019;
260;0.830;0.847;0.874;0.027;
270;0.829;0.860;0.885;0.041;
280;0.850;0.880;0.909;0.016;
290;0.854;0.879;0.910;0.014;
300;0.874;0.898;0.922;0.015;
310;0.883;0.909;0.933;0.032;
320;0.900;0.920;0.955;0.026;
330;0.905;0.936;0.969;0.027;
340;0.919;0.941;0.980;0.044;
350;0.915;0.961;0.986;0.030;
360;0.927;0.969;1.005;0.043;
370;0.952;0.980;1.008;0.033;
380;0.952;0.990;1.013;0.035;
390;0.973;0.992;1.020;0.029;
400;0.987;1.008;1.035;0.038;
410;0.998;1.018;1.042;0.035;
420;1.012;1.033;1.059;0.025;
430;1.023;1.041;1.069;0.029;
440;1.027;1.060;1.093;0.037;
450;0.914;1.062;1.085;0.034;
460;1.060;1.082;1.112;0.043;
470;1.068;1.090;1.112;0.015;
480;1.088;1.111;1.134;0.021;
490;1.083;1.116;1.139;0.036;
500;1.122;1.140;1.163;0.026;
510;1.118;1.136;1.165;0.044;
520;1.139;1.161;1.190;0.046;
530;1.144;1.170;1.195;0.027;
540;1.174;1.184;1.206;0.021;
550;1.186;1.205;1.224;0.008;
560;1.185;1.212;1.237;0.044;
570;1.198;1.219;1.247;0.037;
580;1.211;1.235;1.261;0.029;
590;1.215;1.240;1.269;0.027;
600;1.241;1.260;1.289;0.039;
610;1.247;1.271;1.295;0.031;
620;1.264;1.287;1.316;0.030;
630;1.272;1.299;1.322;0.026;
640;1.294;1.320;1.341;0.045;
650;1.298;1.323;1.351;0.011;
660;1.312;1.339;1.371;0.035;
670;1.317;1.349;1.409;0.041;
680;1.340;1.366;1.392;0.047;
690;1.344;1.369;1.395;0.042;
700;1.369;1.393;1.417;0.028;
710;1.375;1.399;1.423;0.040;
720;1.383;1.415;1.434;0.035;
730;1.401;1.419;1.446;0.046;
740;1.421;1.449;1.480;0.038;
750;1.426;1.446;1.465;0.051;
760;1.442;1.465;1.497;0.031;
770;1.433;1.471;1.494;0.042;
780;1.470;1.494;1.519;0.047;
790;1.476;1.504;1.526;0.050;
800;1.502;1.523;1.545;0.048;
810;1.510;1.530;1.551;0.051;
820;1.524;1.545;1.572;0.026;
830;1.527;1.550;1.571;0.015;
840;1.546;1.569;1.593;0.051;
850;1.563;1.582;1.609;0.050;
860;1.570;1.595;1.618;0.050;
870;1.574;1.604;1.627;0.052;
880;1.601;1.618;1.642;0.050;
890;1.607;1.625;1.657;0.031;
900;1.622;1.648;1.708;0.015;
910;1.628;1.652;1.673;0.043;
920;1.650;1.675;1.700;0.010;
930;1.655;1.678;1.701;0.037;
940;1.670;1.699;1.722;0.040;
950;1.684;1.705;1.728;0.030;
960;1.699;1.727;1.750;0.024;
970;1.712;1.731;1.754;0.038;
980;1.730;1.748;1.782;0.053;
990;1.736;1.758;1.791;0.022;
1000;1.745;1.771;1.800;0.019;
